Date,MSFT,LMT
2020-09-17,193.729112748532,340.853702064806
2020-09-18,191.323132934199,340.165004379167
2020-09-21,193.375853807539,326.795660556703
2020-09-22,198.035052813072,334.379943819801
2020-09-23,191.514083713114,329.920626305289
2020-09-24,193.996443839014,326.063919265711
2020-09-25,198.416954370903,332.899243795677
2020-09-28,199.963655680117,336.179166523532
2020-09-29,197.88229218994,334.655422894056
2020-09-30,200.81338664629,329.955061189571
2020-10-01,202.847012441738,327.897576853725
2020-10-02,196.860705522743,327.63070650054
2020-10-05,200.861124341019,330.540454222364
2020-10-06,196.593374432262,324.0839134195
2020-10-07,200.336009699002,329.662364673174
2020-10-08,201.052075119934,334.526292077999
2020-10-09,206.04543798857,332.23637227325
2020-10-12,211.382512259253,334.810379873325
2020-10-13,212.776452945335,334.836206036536
2020-10-14,210.866945156182,336.359949666012
2020-10-15,209.72124048269,332.399937973589
2020-10-16,209.72124048269,332.727069374267
2020-10-19,204.527379296193,330.325236195602
2020-10-20,204.937923470861,320.425206964543
2020-10-21,205.081136555048,316.060585381807
2020-10-22,205.167064405559,317.627372616636
2020-10-23,206.446434624292,322.250255831486
2020-10-26,200.574698172646,317.274415052746
2020-10-27,203.601268018454,312.005877757609
2020-10-28,193.509519352779,302.045587479057
2020-10-29,195.457217297716,303.405765408193
2020-10-30,193.309021034918,301.417150840911
2020-11-02,193.175355489678,303.388547966052
2020-11-03,197.089846457442,312.875358585728
2020-11-04,206.599195247424,320.382163359191
2020-11-05,213.186997120003,313.960057440609
2020-11-06,213.597541294671,311.007266113432
2020-11-09,208.508703036577,313.314403360322
2020-11-10,201.462619294602,319.624595904988
2020-11-11,206.751955870557,317.902851690891
2020-11-12,205.692179047577,316.706239462094
2020-11-13,206.713765714773,322.947562238196
2020-11-16,207.401188518869,324.660697731222
2020-11-17,204.756520230891,323.601825039553
2020-11-18,202.064114248186,325.030872737253
2020-11-19,203.346878664959,324.0839134195
2020-11-20,201.403586302235,316.81815283601
2020-11-23,201.135545976342,319.254420898957
2020-11-24,204.725371769552,325.822875075738
2020-11-25,204.734944638334,325.702352980751
2020-11-27,206.036854792671,322.258864552557
2020-11-30,204.926402013971,316.45658655105
2020-12-01,206.974995933296,316.447916507582
2020-12-02,206.170874955617,313.300690729006
2020-12-03,205.089140783264,313.881583641305
2020-12-04,205.204015208646,317.852463549261
2020-12-07,205.137005127173,313.968284075977
2020-12-08,206.783538557659,311.453971470503
2020-12-09,202.753360800482,313.292020685539
2020-12-10,201.5280335964,308.124674779117
2020-12-11,204.150999642638,313.604142250357
2020-12-14,205.050849308136,310.09277464616
2020-12-15,204.983839226663,310.014744254956
2020-12-16,209.913866649337,307.41373121481
2020-12-17,210.047886812284,305.705732651781
