Date,MSFT_rolling_beta,LMT_rolling_beta
2020-04-07,1.147848207299102,0.8525128813617868
2020-04-08,1.1371550912662247,0.8476851770220094
2020-04-09,1.1339865418986268,0.8504356714843877
2020-04-13,1.1329613670931258,0.8500726729563299
2020-04-14,1.1372970974373,0.8497739568066908
2020-04-15,1.1346717789398666,0.8492410708791721
2020-04-16,1.136058581647035,0.8493996134751577
2020-04-17,1.1299517424988965,0.8597511681338312
2020-04-20,1.1304257849887729,0.8647970277571583
2020-04-21,1.1328357427584448,0.8647283949649723
2020-04-22,1.1341445405761528,0.859752322940218
2020-04-23,1.1339101107242473,0.8594469143722423
2020-04-24,1.1344378200210943,0.859434190694906
2020-04-27,1.130555441803404,0.8557906848204881
2020-04-28,1.13153628890995,0.8549663860372628
2020-04-29,1.1345002404546765,0.850165498271852
2020-04-30,1.1309313824602163,0.8489064436575233
2020-05-01,1.1291849966582768,0.8463027570588609
2020-05-04,1.1293007531261265,0.8462197057499562
2020-05-05,1.1290478682052316,0.8480944012319718
2020-05-06,1.127828260129124,0.8492831534977962
2020-05-07,1.1264945938410846,0.8473542780207088
2020-05-08,1.1235054465190792,0.8457704587758049
2020-05-11,1.1233055321976353,0.8456810607847269
2020-05-12,1.1230861463404387,0.8462705875709388
2020-05-13,1.122310434862388,0.8473301908499169
2020-05-14,1.1209193543596168,0.8445295776583732
2020-05-15,1.1203144163093421,0.8442278143316626
2020-05-18,1.1118218294935565,0.850286868840412
2020-05-19,1.1109775497110381,0.8521401803299546
2020-05-20,1.1102245257107155,0.8457700338624953
2020-05-21,1.1109759170296285,0.843964493865514
2020-05-22,1.1111739203786768,0.8449178721835042
2020-05-26,1.108405598752023,0.844802576735635
2020-05-27,1.1065758446957583,0.8525222605900297
2020-05-28,1.1063080226075117,0.8529450988911544
2020-05-29,1.1064068244677656,0.8516786961740088
2020-06-01,1.1057099572756959,0.8525672887626515
2020-06-02,1.1047077590953536,0.8529915460211928
2020-06-03,1.1027386053417176,0.8569233652805281
2020-06-04,1.1023788039124867,0.8565368096868243
2020-06-05,1.100806899348481,0.8558393298539916
2020-06-08,1.0982568088497402,0.85560152518952
2020-06-09,1.0967654237175908,0.8568635550506495
2020-06-10,1.0942930571189693,0.8569257438249345
2020-06-11,1.0889457424198303,0.8565174069847932
2020-06-12,1.0881468021816767,0.8544157723178321
2020-06-15,1.0876147104600316,0.8515889826911228
2020-06-16,1.0880883197141689,0.8531522133906767
2020-06-17,1.0873819397207043,0.8526726272381097
2020-06-18,1.0874903211224378,0.8524610292892273
2020-06-19,1.087730635838188,0.8521051689082839
2020-06-22,1.088876072834846,0.852161386436603
2020-06-23,1.0892075348560295,0.8518444921436006
2020-06-24,1.0854717399709315,0.8550453066349305
2020-06-25,1.0854083817417517,0.8548987190974457
2020-06-26,1.084615046619577,0.8542976765537195
2020-06-29,1.0843030658865125,0.8561680875657137
2020-06-30,1.0850558499657297,0.854136856642731
2020-07-01,1.085025065451411,0.8534963704832675
2020-07-02,1.0852930684866888,0.8534413337831028
2020-07-06,1.0855444362288234,0.8516752696998474
2020-07-07,1.0859653188155503,0.8534257537120643
2020-07-08,1.086858676226826,0.8522481750496746
2020-07-09,1.0861364582811026,0.8537448965291811
2020-07-10,1.0845849487443902,0.8554588650042236
2020-07-13,1.086856155258764,0.8531732928265359
2020-07-14,1.085698490038043,0.8526749027841237
2020-07-15,1.0838841989830423,0.8540357439395933
2020-07-16,1.0845138255725182,0.8529497008920454
2020-07-17,1.0844134992315222,0.8532881428055399
2020-07-20,1.0873543879684235,0.852244783762475
2020-07-21,1.087081514476972,0.8524384055278149
2020-07-22,1.0874822370483452,0.8544700344095076
2020-07-23,1.0908866530972225,0.8538378095921114
2020-07-24,1.0909424072203597,0.8542001102264393
2020-07-27,1.0912145285694332,0.8535173312471469
2020-07-28,1.0913141577569254,0.8521894226636566
2020-07-29,1.090557898244997,0.8508794112621306
2020-07-30,1.0886530593200567,0.8511240322989079
2020-07-31,1.0907805641404735,0.8516170073401096
2020-08-03,1.094256190461848,0.8509325029102391
2020-08-04,1.0931756780243018,0.8555420764592744
2020-08-05,1.0921243177909914,0.8547230832723667
2020-08-06,1.0924808176322844,0.8541857999363436
2020-08-07,1.0919404198579894,0.8533125827375448
2020-08-10,1.091549537373458,0.8539037207805756
2020-08-11,1.092708124416909,0.8541448234452389
2020-08-12,1.093705344507287,0.8543746374301794
2020-08-13,1.0940552549888944,0.8553872927883672
2020-08-14,1.094082940026193,0.855239675854609
2020-08-17,1.0940693435100481,0.855392662915823
2020-08-18,1.093797667506591,0.8554436149147948
2020-08-19,1.0938295562266453,0.8560728413912426
2020-08-20,1.094150993123423,0.8561737026509626
2020-08-21,1.0938550354538823,0.8563608273808783
2020-08-24,1.0922878950698152,0.8567881855617725
2020-08-25,1.0922476704980046,0.8567077598870074
2020-08-26,1.0933360695710155,0.8563424256478644
2020-08-27,1.0939941672249536,0.8564798250815385
