Date,MSFT_price,LMT_price,MSFT_return,LMT_return,Mkt-RF,SMB,HML,RF,MSFT_excess_return,LMT_excess_return
2016-04-05,48.0007545462991,173.031401785235,-0.015695471766192792,0.006647927542048793,-0.0093999999999999,-0.0008,-0.0038,0.0,-0.015695471766192792,0.006647927542048793
2016-04-06,48.4934309126101,173.805986111993,0.010263929618768541,0.004476553497031688,0.0113999999999999,0.0022,-0.0076,0.0,0.010263929618768541,0.004476553497031688
2016-04-07,47.9127766237436,173.690948835742,-0.0119738751814219,-0.0006618717733741786,-0.0123,-0.0005,-0.0038,0.0,-0.0119738751814219,-0.0006618717733741786
2016-04-08,47.8775854547214,173.552904104241,-0.0007344840249723372,-0.0007947721653104312,0.0029,0.0002,0.0068,0.0,-0.0007344840249723372,-0.0007947721653104312
2016-04-11,47.7808097399103,172.287494065478,-0.002021315692760206,-0.0072912063632364355,-0.0028,-0.0013,0.0095,0.0,-0.002021315692760206,-0.0072912063632364355
2016-04-12,48.0799346765991,173.307491248238,0.00626035720861684,0.005920320498551845,0.0098999999999999,-0.0007,0.0087,0.0,0.00626035720861684,0.005920320498551845
2016-04-13,48.6957801344878,173.614257318241,0.012808783165598525,0.0017700681476231495,0.0123,0.0086,0.0038,0.0,0.012808783165598525,0.0017700681476231495
2016-04-14,48.7045779267434,172.893357053734,0.00018066847335229674,-0.00415231027475782,0.0003,-0.0026,0.0014,0.0,0.00018066847335229674,-0.00415231027475782
2016-04-15,48.9597139021544,173.177115668487,0.0052384393063573675,0.0016412349183827502,-0.0004,0.0034,-0.0034,0.0,0.0052384393063573675,0.0016412349183827502
2016-04-18,49.6723350748543,174.197112851247,0.014555256064691768,0.005889907444310172,0.0065,0.0011,-0.0019,0.0,0.014555256064691768,0.005889907444310172
2016-04-19,49.6107505290654,173.713956290992,-0.0012398157987961733,-0.0027736197939605134,0.0028,-0.0037,0.0148,0.0,-0.0012398157987961733,-0.0027736197939605134
2016-04-20,48.9069271486211,173.767640353243,-0.014186912573151855,0.0003090371286063043,0.0015,-0.0011,0.0058,0.0,-0.014186912573151855,0.0003090371286063043
2016-04-21,49.0740852014766,173.376513613989,0.0034178809138332156,-0.0022508606231798067,-0.0048,0.001,-0.006,0.0,0.0034178809138332156,-0.0022508606231798067
2016-04-22,45.5549682992553,173.959369146995,-0.07171029042667543,0.003361790595833858,0.0012,0.0081999999999999,0.0051,0.0,-0.07171029042667543,0.003361790595833858
2016-04-25,45.8452954436885,173.552904104241,0.006373117033602327,-0.0023365516025211086,-0.0024,-0.0058,-0.0018,0.0,0.006373117033602327,-0.0023365516025211086
2016-04-26,45.2558433625665,178.047027029786,-0.012857417002493099,0.025894829871850877,0.0029,0.0066,0.0081,0.0,-0.012857417002493099,0.025894829871850877
2016-04-27,44.8159537497888,179.189730640547,-0.009720062208398939,0.006417987594759644,0.0021,0.0005,0.0069999999999999,0.0,-0.009720062208398939,0.006417987594759644
2016-04-28,43.9009833552113,178.47649952779,-0.020416175893206434,-0.003980312433125577,-0.0096,-0.0013,-0.0002,0.0,-0.020416175893206434,-0.003980312433125577
2016-04-29,43.8745899784446,178.215748368287,-0.0006012024048106523,-0.001460983155725737,-0.005,-0.0015,0.0036,0.0,-0.0006012024048106523,-0.001460983155725737
2016-05-02,44.5256266053555,178.875295418794,0.014838580308801808,0.003700834839489131,0.0078,0.0003,-0.0038,0.0,0.014838580308801808,0.003700834839489131
2016-05-03,43.7954098481446,179.994991574305,-0.016399920964235593,0.006259646715828016,-0.0105,-0.0066,-0.0045,0.0,-0.016399920964235593,0.006259646715828016
2016-05-04,43.8745899784446,180.999650453565,0.0018079550020091428,0.005581593523646733,-0.0066,-0.0014,0.0005,0.0,0.0018079550020091428,0.005581593523646733
2016-05-05,43.9361745242335,182.633179776332,0.0014036494886713324,0.009025041311812254,-0.0008,-0.005,0.0006,0.0,0.0014036494886713324,0.009025041311812254
2016-05-06,44.3320751757334,184.259039947348,0.009010812975570603,0.008902326362641988,0.0038,0.0003,0.0024,0.0,0.009010812975570603,0.008902326362641988
2016-05-09,44.0505458235557,184.305054857848,-0.006350466362373353,0.00024972945974943705,0.0005,0.0039,-0.0146,0.0,-0.006350466362373353,0.00024972945974943705
2016-05-10,44.8863360878332,187.40339216488,0.018973437187935316,0.01681091877497165,0.0126,-0.004,0.005,0.0,0.018973437187935316,0.01681091877497165
2016-05-11,44.9127294645999,185.46309677211,0.000588004704038525,-0.010353576690132149,-0.0089,-0.0034999999999999,0.0079,0.0,0.000588004704038525,-0.010353576690132149
2016-05-12,45.3174279083553,187.848202966384,0.009010773751223056,0.01286027374602039,-0.0011,-0.0062,0.0014,0.0,0.009010773751223056,0.01286027374602039
2016-05-13,44.9391228413665,185.685502172862,-0.0083478936128909,-0.011513023597617522,-0.0081999999999999,0.0039,-0.0067,0.0,-0.0083478936128909,-0.011513023597617522
2016-05-16,45.598957260533,186.337380071619,0.014682850430696837,0.0035106558731232695,0.0098999999999999,0.0028,-0.0023,0.0,0.014682850430696837,0.0035106558731232695
2016-05-17,44.7543692039999,185.233022219608,-0.018522091452826017,-0.005926657612050579,-0.0095,-0.008,0.0060999999999999,0.0,-0.018522091452826017,-0.005926657612050579
2016-05-18,45.0201841072112,185.271367978358,0.005939417937043334,0.0002070136214942231,0.001,0.0013,0.0089,0.0,0.005939417937043334,0.0002070136214942231
2016-05-19,44.5860197652995,183.208366157587,-0.009643770911238025,-0.0111350277340857,-0.0032,-0.0034999999999999,-0.0026,0.0,-0.009643770911238025,-0.0111350277340857
2016-05-20,44.8518346685107,184.113326064096,0.005961844197137411,0.0049395119092465745,0.0075,0.009,-0.0026,0.0,0.005961844197137411,0.0049395119092465745
2016-05-23,44.3290653588619,183.691522717842,-0.011655472145397527,-0.002290998458781557,-0.0019,0.0025,-0.0032,0.0,-0.011655472145397527,-0.002290998458781557
2016-05-24,45.7113028555604,184.803549721603,0.031181291225265584,0.006053774215096119,0.0143,0.0070999999999999,-0.0034999999999999,0.0,0.031181291225265584,0.006053774215096119
2016-05-25,46.1809091845669,184.703850748852,0.010273308780770707,-0.0005394862431007397,0.0070999999999999,-0.0021,0.0056,0.0,0.010273308780770707,-0.0005394862431007397
2016-05-26,45.9771177587717,185.240691371358,-0.004412893323098688,0.0029064939378873333,-0.0004,-0.0008,-0.0053,0.0,-0.004412893323098688,0.0029064939378873333
2016-05-27,46.3581191200411,185.394074406359,0.00828676045480714,0.0008280202036901052,0.0048,0.0034999999999999,-0.0017,0.0,0.00828676045480714,0.0008280202036901052
2016-05-31,46.9606329006533,182.413437448516,0.012996941896025405,-0.016077304344203958,-0.0001,0.0052,-0.0037,0.0,0.012996941896025405,-0.016077304344203958
2016-06-01,46.8277254490476,183.841981068208,-0.0028301886792470032,0.007831350802186332,0.002,0.0065,-0.0021,0.0,-0.0028301886792470032,0.007831350802186332
2016-06-02,46.4998870684204,183.648934633114,-0.007000946073793646,-0.001050067204304006,0.0034999999999999,0.0033,-0.0058,0.0,-0.007000946073793646,-0.001050067204304006
2016-06-03,45.8885127910346,184.490617090122,-0.013147865853657126,0.004583105579618385,-0.0038,-0.0016,-0.0007,0.0,-0.013147865853657126,0.004583105579618385
2016-06-06,46.1897696813407,184.861266245501,0.006564973933192109,0.0020090406830715057,0.006,0.0067,0.0031,0.0,0.006564973933192109,0.0020090406830715057
2016-06-07,46.1631881910195,184.938484819539,-0.0005754843660096265,0.0004177109440299809,0.0012,0.0016,0.001,0.0,-0.0005754843660096265,0.0004177109440299809
2016-06-08,46.1100252103773,185.618008271068,-0.0011516314779259629,0.003674321503131406,0.0037,0.0045,-0.0009,0.0,-0.0011516314779259629,0.003674321503131406
2016-06-09,45.7378843458815,185.841942135776,-0.008070714834743864,0.0012064231633226452,-0.0027,-0.004,-0.0024,0.0,-0.008070714834743864,0.0012064231633226452
2016-06-10,45.6138373910496,185.772445419143,-0.0027121270825257726,-0.0003739560393866137,-0.0105,-0.0034999999999999,-0.0018,0.0,-0.0027121270825257726,-0.0003739560393866137
2016-06-13,44.4265308233727,183.741596921959,-0.02602952602952613,-0.010931914539865972,-0.0084,-0.0034999999999999,0.0012,0.0,-0.02602952602952613,-0.010931914539865972
2016-06-14,44.1518554233878,185.092921967614,-0.006182688472276432,0.007354486236608393,-0.0019,0.0026,-0.0072,0.0,-0.006182688472276432,0.007354486236608393
2016-06-15,44.0278084685559,184.89987553252,-0.0028095524784264025,-0.0010429703796439593,-0.0011,0.0023,-0.0003,0.0,-0.0028095524784264025,-0.0010429703796439593
2016-06-16,44.6480432427154,185.224193543477,0.014087341517406538,0.0017540196283147846,0.0024,-0.0034999999999999,-0.0044,0.0,0.014087341517406538,0.0017540196283147846
2016-06-17,44.417670326599,183.440444483213,-0.005159753919428245,-0.009630216367200961,-0.003,-0.0011,0.0095,0.0,-0.005159753919428245,-0.009630216367200961
2016-06-20,44.3645073459568,184.274405082817,-0.0011968880909624113,0.004546219902341608,0.0070999999999999,0.0062,0.0001,0.0,-0.0011968880909624113,0.004546219902341608
2016-06-21,45.3568829846121,184.204908366184,0.02236868384262003,-0.00037713711028819485,0.0021,-0.0064,0.0051,0.0,0.02236868384262003,-0.00037713711028819485
2016-06-22,45.1796730491379,183.911477784842,-0.003907013088494726,-0.0015929574512676403,-0.002,-0.0032,0.0007,0.0,-0.003907013088494726,-0.0015929574512676403
2016-06-23,45.9948387523191,185.324577689726,0.01804275348107587,0.007683587353570109,0.0144999999999999,0.0051,0.0046999999999999,0.0,0.01804275348107587,0.007683587353570109
2016-06-24,44.1518554233878,185.092921967614,-0.04006935079946061,-0.0012499999999991962,-0.0369,0.0017,-0.0121,0.0,-0.04006935079946061,-0.0012499999999991962
2016-06-27,42.9113858750686,184.77632581406,-0.02809552478426769,-0.0017104714226154893,-0.0206,-0.0095,-0.0072,0.0,-0.02809552478426769,-0.0017104714226154893
2016-06-28,43.8062960492132,186.027266713466,0.020854842040059607,0.006770027999500439,0.0176,-0.0038,0.0016,0.0,0.020854842040059607,0.006770027999500439
2016-06-29,44.780950694321,188.475095510451,0.022249190938508967,0.013158440911543057,0.0179,0.0028,-0.0004,0.0,0.022249190938508967,0.013158440911543057
2016-06-30,45.3391619910647,191.63333518858,0.012465373961220827,0.016756801048835923,0.0141999999999999,0.0034999999999999,0.0042,0.0,0.012465373961220827,0.016756801048835923
2016-07-01,45.330301494291,192.544514362221,-0.0001954270080123388,0.0047548051738719455,0.0024,0.0052,-0.0043,0.0,-0.0001954270080123388,0.0047548051738719455
2016-07-05,45.3391619910647,192.668064080681,0.00019546520719293525,0.000641668337678869,-0.0084,-0.0063,-0.0138,0.0,0.00019546520719293525,0.000641668337678869
2016-07-06,45.5252324233125,193.108209952694,0.004103967168261224,0.00228447757604866,0.0062,0.0017,-0.0012,0.0,0.004103967168261224,0.00228447757604866
2016-07-07,45.5252324233125,192.868832373178,0.0,-0.0012396033269359563,0.0002,0.0033,-0.0018,0.0,0.0,-0.0012396033269359563
2016-07-08,46.3403981264937,194.513588000175,0.017905799922149912,0.00852784561797204,0.0159,0.0091,0.0033,0.0,0.017905799922149912,0.00852784561797204
2016-07-11,46.5973525329312,196.436330493705,0.0055449330783929884,0.00988487495037238,0.0042,0.006,0.0028,0.0,0.0055449330783929884,0.00988487495037238
2016-07-12,47.1467033329011,196.675708073221,0.011789313557710512,0.0012186013601169776,0.0075,0.0062,0.0098,0.0,0.011789313557710512,0.0012186013601169776
2016-07-13,47.4125182361124,197.60233096167,0.0056380379627900545,0.004711425206126663,-0.0004,-0.0051,0.0048,0.0,0.0056380379627900545,0.004711425206126663
2016-07-14,47.6163096619077,197.679549535707,0.004298262007101705,0.00039077764751671573,0.0051,-0.0046,0.0046,0.0,0.004298262007101705,0.00039077764751671573
2016-07-15,47.5808676748128,198.436291561274,-0.0007443245254945552,0.0038281250000031797,-0.0005,0.0031,0.0001,0.0,-0.0007443245254945552,0.0038281250000031797
2016-07-18,47.8112405909292,197.903483400416,0.004841713221601207,-0.00268503385477481,0.0024,-0.0002,-0.0014,0.0,0.004841713221601207,-0.00268503385477481
2016-07-19,47.0403773716166,199.965219327214,-0.016123054114158486,0.010417885988527553,-0.0022,-0.0064,0.0004,0.0,-0.016123054114158486,0.010417885988527553
2016-07-20,49.5390374618023,198.196913981758,0.05311734789979283,-0.008843064565955405,0.0048,0.0044,-0.0089,0.0,0.05311734789979283,-0.008843064565955405
